Category,Item,Description,Status,Target_Date,Notes
Paper,P63-CodeARC,Butt et al. (2024) CodeARC,Not Started,2026-07-27,Phase 3
Paper,P64-NeuroSymbolic,Parisotto et al. (2017) Neuro-Symbolic Program Synthesis,Not Started,2026-07-29,Phase 3
Paper,P65-BUSTLE,Odena et al. (2021) BUSTLE,Not Started,2026-07-31,Phase 3
Paper,P66-CoT-Foundation,Wei et al. (2022) Chain-of-Thought (Phase 4 review),Not Started,2026-08-10,Phase 4
Paper,P67-ZeroShotCoT,Kojima et al. (2022) Zero-Shot CoT,Not Started,2026-08-12,Phase 4
Paper,P68-PPO,Schulman et al. (2017) PPO,Not Started,2026-08-14,Phase 4
Paper,P69-GRPO,Shao et al. (2024) DeepSeekMath GRPO,Not Started,2026-08-16,Phase 4 - MUST READ
Paper,P70-DeepSeekR1,Guo et al. (2025) DeepSeek-R1,Not Started,2026-08-18,Phase 4 - MUST READ
Paper,P71-OpenAI-o1,Jaech et al. (2024) OpenAI o1,Not Started,2026-08-20,Phase 4
Paper,P72-ScalingTestTime,Snell et al. (2024) Scaling Test-Time Compute,Not Started,2026-08-22,Phase 4
Paper,P73-PRM,Lightman et al. (2023) Process Reward Models,Not Started,2026-08-24,Phase 4
Paper,P74-RefinedPRM,Luo et al. (2024) Refined PRMs,Not Started,2026-08-26,Phase 4
Paper,P75-VisualizingCNNs,Zeiler & Fergus (2014) Visualizing CNNs,Not Started,2026-08-28,Phase 4
Paper,P76-MAML,Finn et al. (2017) MAML,Not Started,2026-08-30,Phase 4
Paper,P77-SelfRefine,Madaan et al. (2023) Self-Refine,Not Started,2026-09-01,Phase 4
Paper,P78-TreeOfThoughts,Yao et al. (2023) Tree of Thoughts,Not Started,2026-09-03,Phase 4
Paper,P79-GraphOfThoughts,Besta et al. (2024) Graph of Thoughts,Not Started,2026-09-05,Phase 4
Paper,P80-ScalingInference,Wang et al. (2024) Scaling LLM Inference,Not Started,2026-09-07,Phase 4
Paper,P81-ReproducingO1,Zeng et al. (2025) Reproducing o1,Not Started,2026-09-09,Phase 4
Paper,P82-ARCPrize2024,Wang et al. (2024) ARC Prize 2024 Report,Not Started,2026-09-11,Phase 4 - MUST READ
Paper,P83-HypothesisSearch,Banburski-Fahey et al. (2024) Hypothesis Search,Not Started,2026-09-13,Phase 4
Paper,P84-LARC,Acquaviva et al. (2022) LARC,Not Started,2026-09-15,Phase 4
Paper,P85-ARCIllusion,Holt et al. (2024) ARC and Illusion of Understanding,Not Started,2026-09-17,Phase 4
Paper,P86-ProvablySafe,Tegmark & Omohundro (2023) Provably Safe Systems,Not Started,2026-09-19,Phase 4
Paper,P87-ARCAGI2,Chollet et al. (2024) ARC-AGI-2,Not Started,2026-09-21,Phase 4 - MUST READ
Paper,P88-LLMsReason,Kambhampati et al. (2024) Can LLMs Really Reason,Not Started,2026-09-23,Phase 4
Paper,P89-GSMSymbolic,Mirzadeh et al. (2024) GSM-Symbolic,Not Started,2026-09-25,Phase 4
Paper,P90-ScalingFuture,Amodei et al. (2025) Scaling and Future of AI,Not Started,2026-09-27,Phase 4
Paper,P91-LargeConceptModels,Brown et al. (2024) Large Concept Models,Not Started,2026-09-29,Phase 4
Paper,P92-ARCPrizeWinners,Xu & Chollet (2025) ARC-AGI-2 Prize Winners,Not Started,2026-10-01,Phase 4
Paper,P93-Qwen25Coder,Yang et al. (2024) Qwen2.5-Coder,Not Started,2026-10-03,Phase 4
JobPrep,Manual-ARC-50,Solve 50 ARC tasks manually before writing code,Not Started,2026-03-25,Non-negotiable
JobPrep,WandB-Setup,Set up Weights & Biases experiment tracking,Not Started,2026-03-11,
JobPrep,GitHub-Profile,Polish GitHub profile with professional README,Not Started,2026-03-18,
JobPrep,LinearAlgebra-Review,Watch 3Blue1Brown Essence of Linear Algebra,Not Started,2026-03-25,
JobPrep,LeetCode-Phase1,Complete 20 LeetCode easy/medium problems,Not Started,2026-04-18,
JobPrep,Project1-Blog,Write blog post about ARC-Perceiver approach and results,Not Started,2026-05-15,
JobPrep,ARC-Community,Join ARC-AGI Discord; introduce yourself,Not Started,2026-05-01,
JobPrep,LeetCode-Phase2,Complete 40 LeetCode medium problems,Not Started,2026-06-30,
JobPrep,HuggingFace-P2,Upload NeuralSolver model weights to HuggingFace,Not Started,2026-06-14,
JobPrep,Gradio-Demo-P2,Build Gradio demo for NeuralSolver,Not Started,2026-06-30,
JobPrep,Paper-Draft-P2,Begin workshop paper draft for Project 2,Not Started,2026-07-01,
JobPrep,LeetCode-Phase3,Complete 40 LeetCode medium problems,Not Started,2026-08-09,
JobPrep,Paper-Submit-P2,Submit Project 2 paper to workshop,Not Started,2026-08-15,
JobPrep,LeetCode-Phase4,Complete 80 LeetCode medium/hard problems,Not Started,2026-10-11,
JobPrep,LinkedIn-Polish,Polish LinkedIn profile with all projects and scores,Not Started,2026-09-01,
JobPrep,Personal-Website,Build personal portfolio website,Not Started,2026-09-15,
JobPrep,Mock-Interviews,Complete 5+ mock technical interviews,Not Started,2026-10-15,
JobPrep,Applications-Start,Begin 10+ job applications per week,Not Started,2026-10-01,
JobPrep,Paper-Submit-P4,Submit ARC-Reasoner paper to workshop,Not Started,2026-10-15,
JobPrep,ARC-Competition,Submit to ARC-AGI competition if active,Not Started,2026-10-20,
Milestone,ARC1-Score-P1,ARC-AGI-1 score after Project 1,Not Started,2026-04-19,Target: 15-25%
Milestone,ARC1-Score-P2,ARC-AGI-1 score after Project 2,Not Started,2026-06-14,Target: 30-42%
Milestone,ARC1-Score-P3,ARC-AGI-1 score after Project 3,Not Started,2026-08-09,Target: 48-62%
Milestone,ARC1-Score-P4,ARC-AGI-1 score after Project 4,Not Started,2026-10-11,Target: 55-70%
Milestone,ARC2-Score-P4,ARC-AGI-2 score after Project 4,Not Started,2026-10-11,Target: 30-50%
Milestone,First-Job-Offer,Receive first job offer,Not Started,2026-11-30,Target date
